round,round_duration_ticks,p50_delay_ticks,p95_delay_ticks,dropouts
0,918,25,40,0
1,918,27,40,0
2,918,27,40,0
3,918,27,42,0
4,918,27,42,0
5,918,27,40,0
6,918,27,40,0
7,918,27,40,0
8,918,25,40,0
9,918,27,40,0
10,918,25,40,0
11,918,25,40,0
12,918,28,42,0
13,918,27,42,0
14,918,25,40,0
15,918,25,40,0
16,918,27,40,0
17,918,27,42,0
18,918,27,42,0
19,918,25,40,0
20,918,27,40,0
21,918,27,40,0
22,918,27,40,0
23,918,27,40,0
24,918,27,42,0
25,918,27,42,0
26,918,27,42,0
27,918,25,42,0
28,918,27,42,0
29,918,25,40,0
30,918,27,40,0
31,918,27,40,0
32,918,27,42,0
33,918,27,42,0
34,918,25,42,0
35,918,25,40,0
36,918,27,40,0
37,918,25,42,0
38,918,28,42,0
39,918,27,42,0
40,918,27,40,0
41,918,27,42,0
42,918,25,40,0
43,918,27,40,0
44,918,28,42,0
45,918,25,40,0
46,918,25,40,0
47,918,27,40,0
48,918,27,40,0
49,918,27,42,0
50,918,25,40,0
51,918,25,40,0
52,918,25,40,0
53,918,27,40,0
54,918,27,42,0
55,918,25,40,0
56,918,27,40,0
57,918,28,42,0
58,918,25,40,0
59,918,27,40,0
60,918,27,42,0
61,918,25,40,0
62,918,27,40,0
63,918,25,40,0
64,918,27,42,0
65,918,27,40,0
66,918,25,42,0
67,918,25,40,0
68,918,25,40,0
69,918,25,40,0
70,918,27,40,0
71,918,27,40,0
72,918,25,40,0
73,918,27,42,0
74,918,25,40,0
75,918,25,42,0
76,918,27,42,0
77,918,25,42,0
78,918,27,42,0
79,918,27,40,0
80,918,27,42,0
81,918,25,42,0
82,918,25,40,0
83,918,25,42,0
84,918,27,42,0
85,918,27,40,0
86,918,27,40,0
87,918,27,42,0
88,918,27,40,0
89,918,27,42,0
90,918,25,40,0
91,918,25,42,0
92,918,25,40,0
93,918,27,42,0
94,918,27,42,0
95,918,25,40,0
96,918,25,40,0
97,918,27,42,0
98,918,27,40,0
99,918,27,42,0
